rowOrder;titleOrderInRow;positionScore
9;44;46.523720872953035
9;45;44.19753482930538
9;46;41.98765808784011
9;47;39.8882751834481
9;48;37.89386142427569
9;49;35.999168353061904
9;50;34.19920993540881
9;51;32.48924943863837
9;52;30.864786966706447
9;53;29.321547618371124
9;54;27.855470237452565
9;55;26.462696725579935
9;56;25.139561889300936
9;57;23.882583794835888
9;58;22.688454605094094
9;59;21.55403187483939
9;60;20.476330281097418
9;61;19.452513767042547
9;62;18.47988807869042
9;63;17.555893674755897
9;64;16.6780989910181
9;65;15.844194041467194
9;66;15.051984339393833
9;67;14.299385122424141
9;68;13.584415866302933
9;69;12.905195072987786
9;70;12.259935319338396
10;1;502.80285318749986
10;2;477.6627105281249
10;3;453.7795750017186
10;4;431.0905962516327
10;5;387.98153662646945
10;6;310.38522930117557
10;7;294.8659678361168
10;8;280.12266944431093
10;9;266.1165359720954
10;10;252.8107091734906
10;11;240.17017371481606
10;12;228.16166502907524
10;13;216.75358177762146
10;14;205.91590268874037
10;15;195.62010755430336
10;16;185.83910217658817
10;17;176.54714706775874
10;18;167.7197897143708
10;19;159.33380022865225
10;20;151.36711021721962
10;21;143.79875470635864
10;22;136.6088169710407
10;23;129.77837612248868
10;24;123.28945731636423
10;25;117.12498445054602
10;26;111.26873522801871
10;27;105.70529846661778
10;28;100.42003354328688
10;29;95.39903186612253
10;30;90.6290802728164
10;31;86.09762625917557
10;32;81.79274494621679
10;33;77.70310769890594
10;34;73.81795231396063
10;35;70.1270546982626
10;36;66.62070196334946
10;37;63.289666865181985
10;38;60.125183521922885
10;39;57.11892434582674
10;40;54.2629781285354
10;41;51.54982922210863
10;42;48.972337761003196
10;43;46.523720872953035
10;44;44.19753482930538
10;45;41.98765808784011
10;46;39.8882751834481
10;47;37.89386142427569
10;48;35.999168353061904
10;49;34.19920993540881
10;50;32.48924943863837
10;51;30.864786966706447
10;52;29.321547618371124
10;53;27.855470237452565
10;54;26.462696725579935
10;55;25.139561889300936
10;56;23.882583794835888
10;57;22.688454605094094
10;58;21.55403187483939
10;59;20.476330281097418
10;60;19.452513767042547
10;61;18.47988807869042
10;62;17.555893674755897
10;63;16.6780989910181
10;64;15.844194041467194
10;65;15.051984339393833
10;66;14.299385122424141
10;67;13.584415866302933
10;68;12.905195072987786
10;69;12.259935319338396
10;70;11.646938553371475
11;1;477.6627105281249
11;2;453.7795750017186
11;3;431.0905962516327
11;4;409.536066439051
11;5;368.5824597951459
11;6;294.86596783611674
11;7;280.1226694443109
11;8;266.11653597209533
11;9;252.81070917349055
11;10;240.170173714816
11;11;228.16166502907518
11;12;216.7535817776214
11;13;205.91590268874032
11;14;195.6201075543033
11;15;185.83910217658814
11;16;176.54714706775871
11;17;167.71978971437076
11;18;159.33380022865222
11;19;151.36711021721962
11;20;143.79875470635864
11;21;136.6088169710407
11;22;129.77837612248868
11;23;123.28945731636423
11;24;117.12498445054602
11;25;111.26873522801871
11;26;105.70529846661778
11;27;100.42003354328688
11;28;95.39903186612253
11;29;90.6290802728164
11;30;86.09762625917557
11;31;81.79274494621679
11;32;77.70310769890594
11;33;73.81795231396063
11;34;70.1270546982626
11;35;66.62070196334946
11;36;63.289666865181985
11;37;60.125183521922885
11;38;57.11892434582674
11;39;54.2629781285354
11;40;51.54982922210863
11;41;48.972337761003196
11;42;46.523720872953035
11;43;44.19753482930538
11;44;41.98765808784011
11;45;39.8882751834481
11;46;37.89386142427569
11;47;35.999168353061904
11;48;34.19920993540881
11;49;32.48924943863837
11;50;30.864786966706447
11;51;29.321547618371124
11;52;27.855470237452565
11;53;26.462696725579935
11;54;25.139561889300936
11;55;23.882583794835888
11;56;22.688454605094094
11;57;21.55403187483939
11;58;20.476330281097418
11;59;19.452513767042547
11;60;18.47988807869042
11;61;17.555893674755897
11;62;16.6780989910181
11;63;15.844194041467194
11;64;15.051984339393833
11;65;14.299385122424141
11;66;13.584415866302933
11;67;12.905195072987786
11;68;12.259935319338396
11;69;11.646938553371475
11;70;11.064591625702901
12;1;453.7795750017186
12;2;431.0905962516327
12;3;409.536066439051
